# 字 1500-2999
 1500 | both                           | 兩者都                            | ✌️       | chunks=['b', 'oth'] | py=ㄅㄛㄙ | theme=sight-words | stage=1
 1501 | enough                         | 足夠                             | 👌        | chunks=['en', 'ough'] | py=ㄧ-ㄋㄚㄈ | theme=sight-words | stage=1
 1502 | anyway                         | 反正                             | 🤷        | chunks=['any', 'way'] | py=ㄝ-ㄋㄧ-ㄨㄝ | theme=sight-words | stage=1
 1503 | perhaps                        | 也許                             | 🤔        | chunks=['per', 'haps'] | py=ㄆㄜ-ㄏㄚㄆㄙ | theme=sight-words | stage=2
 1504 | maybe                          | 也許                             | 🤔        | chunks=['may', 'be'] | py=ㄇㄟ-ㄅㄧ | theme=sight-words | stage=1
 1505 | certainly                      | 當然                             | ✅        | chunks=['cer', 'tain', 'ly'] | py=ㄙㄜ-ㄊㄣ-ㄌㄧ | theme=sight-words | stage=2 base=certain
 1506 | definitely                     | 絕對                             | 💯        | chunks=['def', 'i', 'nite', 'ly'] | py=ㄉㄝ-ㄈㄜ-ㄋㄧㄊ-ㄌㄧ | theme=sight-words | stage=1 base=definite
 1507 | obviously                      | 顯然                             | 👁️       | chunks=['ob', 'vi', 'ous', 'ly'] | py=ㄚㄅ-ㄈㄧ-ㄚㄙ-ㄌㄧ | theme=sight-words | stage=1 base=obvious
 1508 | probably                       | 大概                             | 🤔        | chunks=['prob', 'a', 'bly'] | py=ㄆㄌㄚ-ㄅㄜ-ㄅㄌㄧ | theme=sight-words | stage=1 base=probable
 1509 | except                         | 除了                             | ❌        | chunks=['ex', 'cept'] | py=ㄧㄎ-ㄙㄝㄆㄊ | theme=sight-words | stage=2 [有易混提示]
 1510 | despite                        | 儘管                             | 🤷        | chunks=['de', 'spite'] | py=ㄉㄜ-ㄙㄆㄞㄊ | theme=sight-words | stage=2
 1511 | above                          | 上方                             | ⬆️       | chunks=['a', 'bove'] | py=ㄚ-ㄅㄚㄈ | theme=sight-words | stage=1
 1512 | below                          | 下方                             | ⬇️       | chunks=['be', 'low'] | py=ㄅㄧ-ㄌㄛ | theme=sight-words | stage=1
 1513 | beside                         | 旁邊                             | ➡️       | chunks=['be', 'side'] | py=ㄅㄧ-ㄙㄞㄉ | theme=sight-words | stage=1 [有易混提示]
 1514 | among                          | 在…之中                           | 👥        | chunks=['a', 'mong'] | py=ㄚ-ㄇㄚㄥ | theme=sight-words | stage=2 [有易混提示]
