# 字 3000-4499
 3000 | attorney                       | 律師                             | ⚖️       | chunks=['at', 'tor', 'ney'] | py=ㄚ-ㄊㄜ-ㄋㄧ | theme=jobs-advanced | stage=2
 3001 | prosecutor                     | 檢察官                            | ⚖️       | chunks=['pros', 'e', 'cu', 'tor'] | py=ㄆㄌㄚ-ㄗㄜ-ㄎㄧㄨ-ㄊㄜ | theme=jobs-advanced | stage=3
 3002 | defendant                      | 被告                             | ⚖️       | chunks=['de', 'fen', 'dant'] | py=ㄉㄧ-ㄈㄝㄣ-ㄉㄣㄊ | theme=jobs-advanced | stage=3
 3003 | plaintiff                      | 原告                             | ⚖️       | chunks=['plain', 'tiff'] | py=ㄆㄌㄟㄣ-ㄊㄜㄈ | theme=jobs-advanced | stage=3
 3004 | paralegal                      | 律師助理                           | ⚖️       | chunks=['par', 'a', 'le', 'gal'] | py=ㄆㄝ-ㄜ-ㄌㄧ-ㄍㄜ | theme=jobs-advanced | stage=3
 3005 | magistrate                     | 地方法官                           | ⚖️       | chunks=['mag', 'is', 'trate'] | py=ㄇㄚ-ㄐㄜ-ㄙㄉㄌㄝㄊ | theme=jobs-advanced | stage=3
 3006 | diplomat                       | 外交官                            | 🤝        | chunks=['dip', 'lo', 'mat'] | py=ㄉㄧ-ㄆㄌㄜ-ㄇㄚㄊ | theme=jobs-advanced | stage=2
 3007 | ambassador                     | 大使                             | 🤝        | chunks=['am', 'bas', 'sa', 'dor'] | py=ㄚㄇ-ㄅㄚ-ㄙㄜ-ㄉㄜ | theme=jobs-advanced | stage=2
 3008 | senator                        | 參議員                            | 🏛️       | chunks=['sen', 'a', 'tor'] | py=ㄙㄝ-ㄋㄜ-ㄊㄜ | theme=jobs-advanced | stage=2
 3009 | governor                       | 州長                             | 🏛️       | chunks=['gov', 'er', 'nor'] | py=ㄍㄚ-ㄈㄜ-ㄋㄜ | theme=jobs-advanced | stage=2 base=govern
 3010 | editor                         | 編輯                             | ✍️       | chunks=['ed', 'i', 'tor'] | py=ㄝ-ㄉㄜ-ㄊㄜ | theme=jobs-advanced | stage=1 base=edit
 3011 | reporter                       | 記者                             | 📰        | chunks=['re', 'por', 'ter'] | py=ㄌㄧ-ㄆㄛㄦ-ㄊㄜ | theme=jobs-advanced | stage=1 base=report
 3012 | correspondent                  | 特派員                            | 📰        | chunks=['cor', 're', 'spon', 'dent'] | py=ㄎㄛ-ㄌㄧ-ㄙㄆㄚㄣ-ㄉㄣㄊ | theme=jobs-advanced | stage=3
