# 字 9000-10100
 9000 | vaccine                        | 疫苗                             | 🎨        | chunks=['vac', 'ci', 'ne'] | py=ㄈㄚ-ㄙㄜ-ㄋㄧ | theme=adjectives | stage=4
 9001 | valiant                        | 英勇的                            | 🎨        | chunks=['va', 'liant'] | py=ㄈㄚ-ㄌㄧㄣㄊ | theme=adjectives | stage=4
 9002 | validity                       | 正當                             | 🎓        | chunks=['va', 'li', 'di', 'ty'] | py=ㄈㄚ-ㄌㄧ-ㄉㄧ-ㄊㄧ | theme=academic-words | stage=4
 9003 | vanilla                        | 香草、香草口味的                       | 🎨        | chunks=['va', 'nil', 'la'] | py=ㄈㄚ-ㄋㄧㄌ-ㄌㄚ | theme=adjectives | stage=4
 9004 | variable                       | 多變的、變數                         | 🎨        | chunks=['va', 'riab', 'le'] | py=ㄈㄚ-ㄖㄧㄚㄅ-ㄌㄧ | theme=adjectives | stage=4
 9005 | variation                      | 變動                             | 🎓        | chunks=['va', 'ria', 'tion'] | py=ㄈㄚ-ㄖㄧㄚ-ㄒㄣ | theme=academic-words | stage=4
 9006 | vend                           | 出售                             | 🏃        | chunks=['v', 'end'] | py=ㄈㄧ-ㄝㄣㄉ | theme=actions | stage=4
 9007 | verge                          | 邊緣、瀕臨                          | 🏃        | chunks=['ver', 'ge'] | py=ㄈㄜ-ㄐㄧ | theme=directions | stage=4
 9008 | versatile                      | 多才多藝的                          | 🎨        | chunks=['ver', 'sa', 'ti', 'le'] | py=ㄈㄜ-ㄙㄚ-ㄊㄜ-ㄌㄧ | theme=adjectives | stage=4
 9009 | veteran                        | 老兵                             | 🏃        | chunks=['ve', 'te', 'ran'] | py=ㄈㄜ-ㄊㄧ-ㄌㄚㄣ | theme=actions | stage=4
 9010 | vibration                      | 顫動                             | 🎓        | chunks=['vib', 'ra', 'tion'] | py=ㄨㄧㄅ-ㄌㄚ-ㄒㄣ | theme=academic-words | stage=4
 9011 | victimize                      | 使受害                            | 🏃        | chunks=['vic', 'ti', 'mi', 'ze'] | py=ㄈㄧㄎ-ㄊㄜ-ㄇㄞ-ㄗㄧ | theme=actions | stage=4 base=victim
