# 字 7500-8999
 7500 | overtake                       | 追上                             | 🏃        | chunks=['o', 'ver', 'ta', 'ke'] | py=ㄛ-ㄈㄜ-ㄊㄝ-ㄎㄟ | theme=directions | stage=3
 7501 | overthrow                      | 打倒                             | 🏃        | chunks=['o', 'vert', 'hrow'] | py=ㄛ-ㄈㄜㄊ-ㄏㄖㄠ | theme=actions | stage=3
 7502 | pace                           | 步伐、節奏                          | 🔢        | chunks=['pa', 'ce'] | py=ㄆㄜ-ㄙㄜ | theme=numbers | stage=3
 7503 | partial                        | 部分的，局部的                        | 🎨        | chunks=['par', 'tial'] | py=ㄆㄚㄦ-ㄒㄦ | theme=adjectives | stage=3
 7504 | participation                  | 參加，參與                          | 🎓        | chunks=['par', 'ti', 'ci', 'pa', 'tion'] | py=ㄆㄚㄦ-ㄊㄜ-ㄙㄜ-ㄆㄜ-ㄒㄣ | theme=academic-words | stage=3
 7505 | participle                     | 分詞                             | 🏃        | chunks=['par', 'ti', 'cip', 'le'] | py=ㄆㄚㄦ-ㄊㄜ-ㄎㄧㄆ-ㄌㄧ | theme=actions | stage=3
 7506 | pebble                         | 小卵石                            | 🏃        | chunks=['peb', 'ble'] | py=ㄆㄝㄅ-ㄅㄜ | theme=actions | stage=3
 7507 | peculiar                       | 奇怪的                            | 🎨        | chunks=['pe', 'cu', 'liar'] | py=ㄆㄜ-ㄎㄧㄨ-ㄌㄧㄚㄜ | theme=adjectives | stage=3
 7508 | pedal                          | 踏板                             | 🏃        | chunks=['pe', 'dal'] | py=ㄆㄜ-ㄉㄦ | theme=actions | stage=3
 7509 | percentage                     | 比例                             | 🏃        | chunks=['per', 'cen', 'ta', 'ge'] | py=ㄆㄜ-ㄙㄝㄣ-ㄊㄝ-ㄐㄧ | theme=actions | stage=3
 7510 | perfection                     | 完美                             | 💁        | chunks=['per', 'fec', 'tion'] | py=ㄆㄜ-ㄈㄝㄎ-ㄒㄣ | theme=appearance | stage=3
 7511 | permanent                      | 永久的、燙髮                         | 💇        | chunks=['per', 'ma', 'nent'] | py=ㄆㄜ-ㄇㄚ-ㄋㄣㄊ | theme=food | stage=3
 7512 | persuasive                     | 勸說的                            | 🎨        | chunks=['per', 'sua', 'si', 've'] | py=ㄆㄜ-ㄙㄨㄟ-ㄗㄜ-ㄈㄜ | theme=adjectives | stage=3
 7513 | pianist                        | 鋼琴家                            | 🎵        | chunks=['pia', 'nist'] | py=ㄆㄧㄚ-ㄋㄧㄙㄊ | theme=music | stage=3
 7514 | plentiful                      | 豐富的，充足的                        | 🎨        | chunks=['plen', 'ti', 'ful'] | py=ㄆㄌㄝㄣ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=3
 7515 | plural                         | 複數的、複數                         | 🏃        | chunks=['plu', 'ral'] | py=ㄆㄌㄨ-ㄦ | theme=actions | stage=3
 7516 | poisonous                      | 有毒的                            | 🎨        | chunks=['poi', 'so', 'nous'] | py=ㄆㄛㄧ-ㄙㄛ-ㄋㄜㄙ | theme=adjectives | stage=3 base=poison
 7517 | polish                         | 磨光、擦亮、亮光劑                      | 🎨        | chunks=['po', 'lish'] | py=ㄆㄛ-ㄅㄌㄧㄒ | theme=adjectives | stage=3
 7518 | popularity                     | 受歡迎程度、普及                       | 🎓        | chunks=['po', 'pu', 'la', 'ri', 'ty'] | py=ㄆㄛ-ㄆㄧㄨ-ㄌㄚ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=3
 7519 | portable                       | 手提式的                           | 🎨        | chunks=['por', 'tab', 'le'] | py=ㄆㄜ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=3 base=port
 7520 | porter                         | 搬運工人，腳夫                        | 👨‍⚕️     | chunks=['por', 'ter'] | py=ㄆㄜ-ㄊㄜ | theme=jobs | stage=3 base=port
 7521 | portray                        | 描繪、刻畫                          | 🎨        | chunks=['por', 'tray'] | py=ㄆㄜ-ㄊㄌㄝ | theme=art | stage=3
 7522 | possess                        | 擁有，持有                          | 🏃        | chunks=['pos', 'sess'] | py=ㄆㄚ-ㄙㄝㄙ | theme=actions | stage=3
 7523 | possession                     | 擁有                             | 🎓        | chunks=['pos', 'ses', 'sion'] | py=ㄆㄚ-ㄗㄝㄗ-ㄒㄣ | theme=academic-words | stage=3
 7524 | preferable                     | 更好的，更合意的                       | 🎨        | chunks=['pre', 'fe', 'rab', 'le'] | py=ㄆㄌㄧ-ㄈㄧ-ㄖㄝ-ㄌㄧ | theme=adjectives | stage=3 base=prefer
 7525 | pregnancy                      | 懷孕                             | 🏃        | chunks=['preg', 'nan', 'cy'] | py=ㄆㄖㄝㄍ-ㄋㄚ-ㄒㄧ | theme=actions | stage=3
