# 字 2000-2499
 2000 | brusselsprout                  | 球芽甘藍                           | 🥬        | chunks=['brus', 'sels', 'sprout'] | py=ㄅㄌㄚ-ㄙㄜㄗ-ㄙㄆㄌㄠㄊ | theme=vegetables | stage=3
 2001 | snowpea                        | 豌豆莢                            | 🟢        | chunks=['snow', 'pea'] | py=ㄙㄋㄛ-ㄆㄧ | theme=vegetables | stage=2
 2002 | chickpea                       | 鷹嘴豆                            | 🟡        | chunks=['chick', 'pea'] | py=ㄑㄧㄎ-ㄆㄧ | theme=vegetables | stage=2
 2003 | lentil                         | 扁豆                             | 🟫        | chunks=['len', 'til'] | py=ㄌㄝㄣ-ㄊㄜ | theme=vegetables | stage=2
 2004 | soybean                        | 黃豆                             | 🟡        | chunks=['soy', 'bean'] | py=ㄙㄛㄧ-ㄅㄧㄣ | theme=vegetables | stage=1
 2005 | edamame                        | 毛豆                             | 🟢        | chunks=['e', 'da', 'ma', 'me'] | py=ㄝ-ㄉㄚ-ㄇㄚ-ㄇㄝ | theme=vegetables | stage=2
 2006 | tomatillo                      | 墨西哥番茄                          | 🟢        | chunks=['to', 'ma', 'til', 'lo'] | py=ㄊㄛ-ㄇㄚ-ㄊㄧ-ㄌㄛ | theme=vegetables | stage=3
 2007 | daikon                         | 白蘿蔔                            | ⬜        | chunks=['dai', 'kon'] | py=ㄉㄞ-ㄎㄢ | theme=vegetables | stage=2
 2008 | lotusroot                      | 蓮藕                             | ⚪        | chunks=['lo', 'tus', 'root'] | py=ㄌㄛ-ㄊㄜㄗ-ㄌㄨㄊ | theme=vegetables | stage=2
 2009 | bambooshoot                    | 竹筍                             | 🎋        | chunks=['bam', 'boo', 'shoot'] | py=ㄅㄚㄇ-ㄅㄨ-ㄒㄨㄊ | theme=vegetables | stage=2
 2010 | cilantro                       | 香菜                             | 🌿        | chunks=['ci', 'lan', 'tro'] | py=ㄒㄜ-ㄌㄢ-ㄊㄌㄛ | theme=vegetables | stage=2
 2011 | parsley                        | 巴西利                            | 🌿        | chunks=['pars', 'ley'] | py=ㄆㄚㄦㄙ-ㄌㄧ | theme=vegetables | stage=2
 2012 | basil                          | 羅勒                             | 🌿        | chunks=['ba', 'sil'] | py=ㄅㄝ-ㄗㄜ | theme=vegetables | stage=2
 2013 | rosemary                       | 迷迭香                            | 🌿        | chunks=['rose', 'ma', 'ry'] | py=ㄌㄛㄗ-ㄇㄝ-ㄌㄧ | theme=vegetables | stage=2
 2014 | thyme                          | 百里香                            | 🌿        | chunks=['th', 'yme'] | py=ㄊㄞㄇ | theme=vegetables | stage=3 [有易混提示]
 2015 | oregano                        | 奧勒岡                            | 🌿        | chunks=['o', 'reg', 'a', 'no'] | py=ㄛ-ㄌㄝ-ㄍㄜ-ㄋㄛ | theme=vegetables | stage=3
 2016 | dill                           | 蒔蘿                             | 🌿        | chunks=['d', 'ill'] | py=ㄉㄧㄦ | theme=vegetables | stage=3
 2017 | sage                           | 鼠尾草                            | 🌿        | chunks=['s', 'age'] | py=ㄙㄟㄐ | theme=vegetables | stage=3
 2018 | coriander                      | 芫荽                             | 🌿        | chunks=['co', 'ri', 'an', 'der'] | py=ㄎㄛ-ㄌㄧ-ㄢ-ㄉㄜ | theme=vegetables | stage=3
 2019 | tarragon                       | 龍蒿                             | 🌿        | chunks=['tar', 'ra', 'gon'] | py=ㄊㄝ-ㄌㄜ-ㄍㄢ | theme=vegetables | stage=3
 2020 | champagne                      | 香檳                             | 🍾        | chunks=['cham', 'pagne'] | py=ㄒㄚㄇ-ㄆㄟㄣ | theme=drinks | stage=2
 2021 | vodka                          | 伏特加                            | 🍸        | chunks=['vod', 'ka'] | py=ㄈㄚㄉ-ㄎㄚ | theme=drinks | stage=2
 2022 | whiskey                        | 威士忌                            | 🥃        | chunks=['whis', 'key'] | py=ㄨㄧㄙ-ㄎㄧ | theme=drinks | stage=2
 2023 | rum                            | 蘭姆酒                            | 🥃        | chunks=['r', 'um'] | py=ㄌㄚㄇ | theme=drinks | stage=2
 2024 | gin                            | 琴酒                             | 🍸        | chunks=['g', 'in'] | py=ㄐㄧㄣ | theme=drinks | stage=2
 2025 | tequila                        | 龍舌蘭                            | 🍸        | chunks=['te', 'qui', 'la'] | py=ㄊㄜ-ㄎㄧ-ㄌㄚ | theme=drinks | stage=3
 2026 | brandy                         | 白蘭地                            | 🥃        | chunks=['bran', 'dy'] | py=ㄅㄌㄢ-ㄉㄧ | theme=drinks | stage=3
 2027 | sake                           | 清酒                             | 🍶        | chunks=['sa', 'ke'] | py=ㄙㄚ-ㄎㄟ | theme=drinks | stage=2
 2028 | soju                           | 燒酒                             | 🍶        | chunks=['so', 'ju'] | py=ㄙㄛ-ㄐㄨ | theme=drinks | stage=3
 2029 | ale                            | 愛爾啤酒                           | 🍺        | chunks=['a', 'le'] | py=ㄝㄦ | theme=drinks | stage=2
 2030 | lager                          | 拉格啤酒                           | 🍺        | chunks=['la', 'ger'] | py=ㄌㄚ-ㄍㄜ | theme=drinks | stage=3
 2031 | stout                          | 司陶特                            | 🍺        | chunks=['st', 'out'] | py=ㄙㄉㄠㄊ | theme=drinks | stage=3
 2032 | cider                          | 蘋果酒                            | 🍎        | chunks=['ci', 'der'] | py=ㄙㄞ-ㄉㄜ | theme=drinks | stage=2
 2033 | punch                          | 潘趣酒、賓治                         | 🍹        | chunks=['p', 'unch'] | py=ㄆㄚㄣㄑ | theme=drinks | stage=2
 2034 | mocktail                       | 無酒精雞尾酒                         | 🍹        | chunks=['mock', 'tail'] | py=ㄇㄚㄎ-ㄊㄟㄦ | theme=drinks | stage=2
 2035 | mojito                         | 莫吉托                            | 🍹        | chunks=['mo', 'ji', 'to'] | py=ㄇㄛ-ㄏㄧ-ㄊㄛ | theme=drinks | stage=3
 2036 | martini                        | 馬丁尼                            | 🍸        | chunks=['mar', 'ti', 'ni'] | py=ㄇㄚㄦ-ㄊㄧ-ㄋㄧ | theme=drinks | stage=3
 2037 | margarita                      | 瑪格麗特                           | 🍹        | chunks=['mar', 'ga', 'ri', 'ta'] | py=ㄇㄚㄦ-ㄍㄚ-ㄌㄜ-ㄊㄚ | theme=drinks | stage=3
 2038 | cappuccino                     | 卡布奇諾                           | ☕        | chunks=['cap', 'puc', 'ci', 'no'] | py=ㄎㄚ-ㄆㄨ-ㄑㄧ-ㄋㄛ | theme=drinks | stage=2
 2039 | americano                      | 美式咖啡                           | ☕        | chunks=['a', 'mer', 'i', 'ca', 'no'] | py=ㄚ-ㄇㄝ-ㄌㄜ-ㄎㄚ-ㄋㄛ | theme=drinks | stage=2
 2040 | mocha                          | 摩卡                             | ☕        | chunks=['mo', 'cha'] | py=ㄇㄛ-ㄎㄚ | theme=drinks | stage=2
 2041 | frappe                         | 冰沙咖啡                           | 🥤        | chunks=['frap', 'pe'] | py=ㄈㄌㄚ-ㄆㄟ | theme=drinks | stage=3
