# 字 2500-2999
 2500 | dinein                         | 內用                             | 🍽️       | chunks=['dine', 'in'] | py=ㄉㄞㄣ-ㄧㄣ | theme=restaurant | stage=2
 2501 | drivethru                      | 得來速                            | 🚗        | chunks=['drive', 'thru'] | py=ㄉㄌㄞㄈ-ㄙㄌㄨ | theme=restaurant | stage=2
 2502 | restaurant                     | 餐廳                             | 🍽️       | chunks=['res', 'tau', 'rant'] | py=ㄌㄝㄙ-ㄊㄜ-ㄌㄚㄣㄊ | theme=restaurant | stage=1
 2503 | cuisine                        | 料理                             | 🍴        | chunks=['cui', 'sine'] | py=ㄎㄨㄧ-ㄗㄧㄣ | theme=restaurant | stage=2
 2504 | specialty                      | 招牌菜、專長                         | ⭐        | chunks=['spe', 'cial', 'ty'] | py=ㄙㄆㄝ-ㄒㄦ-ㄊㄧ | theme=restaurant | stage=2 base=special
 2505 | check                          | 帳單、結帳                          | 🧾        | chunks=['ch', 'eck'] | py=ㄑㄝㄎ | theme=restaurant | stage=1 [有易混提示]
 2506 | gratuity                       | 小費                             | 💵        | chunks=['gra', 'tu', 'i', 'ty'] | py=ㄍㄌㄚ-ㄑㄨ-ㄜ-ㄊㄧ | theme=restaurant | stage=3
 2507 | allergy                        | 過敏                             | 🤧        | chunks=['al', 'ler', 'gy'] | py=ㄚ-ㄌㄜ-ㄐㄧ | theme=restaurant | stage=2
 2508 | glutenfree                     | 無麩質                            | 🌾        | chunks=['glu', 'ten', 'free'] | py=ㄍㄌㄨ-ㄊㄣ-ㄈㄌㄧ | theme=restaurant | stage=2
 2509 | vegan                          | 純素                             | 🥬        | chunks=['ve', 'gan'] | py=ㄈㄧ-ㄍㄣ | theme=restaurant | stage=1
 2510 | vegetarian                     | 素食                             | 🥗        | chunks=['veg', 'e', 'tar', 'i', 'an'] | py=ㄈㄝ-ㄐㄜ-ㄊㄝ-ㄌㄧ-ㄣ | theme=restaurant | stage=1
 2511 | kosher                         | 猶太潔食                           | ✡️       | chunks=['ko', 'sher'] | py=ㄎㄛ-ㄒㄜ | theme=restaurant | stage=3
 2512 | halal                          | 清真食物                           | ☪️       | chunks=['ha', 'lal'] | py=ㄏㄜ-ㄌㄚㄦ | theme=restaurant | stage=3
 2513 | savory                         | 鹹的、鹹香的                         | 🍖        | chunks=['sa', 'vo', 'ry'] | py=ㄙㄝ-ㄈㄜ-ㄌㄧ | theme=restaurant | stage=2
 2514 | bitter                         | 苦的                             | 😖        | chunks=['bit', 'ter'] | py=ㄅㄧ-ㄊㄜ | theme=restaurant | stage=1
 2515 | bland                          | 清淡的、沒味道的                       | 😐        | chunks=['bl', 'and'] | py=ㄅㄌㄚㄣㄉ | theme=restaurant | stage=2
 2516 | fastfood                       | 速食                             | 🍔        | chunks=['fast', 'food'] | py=ㄈㄚㄙㄊ-ㄈㄨㄉ | theme=restaurant | stage=1
 2517 | finedining                     | 精緻料理                           | 🍽️       | chunks=['fine', 'din', 'ing'] | py=ㄈㄞㄣ-ㄉㄞ-ㄋㄧㄥ | theme=restaurant | stage=2
 2518 | casual                         | 休閒的、隨意的                        | 👕        | chunks=['ca', 'su', 'al'] | py=ㄎㄚ-ㄓㄨ-ㄦ | theme=restaurant | stage=2
 2519 | formal                         | 正式的                            | 🤵        | chunks=['for', 'mal'] | py=ㄈㄛㄦ-ㄇㄜ | theme=restaurant | stage=1 base=form
 2520 | straw                          | 吸管                             | 🥤        | chunks=['str', 'aw'] | py=ㄙㄉㄌㄛ | theme=restaurant | stage=1
 2521 | banquet                        | 宴會                             | 🎉        | chunks=['ban', 'quet'] | py=ㄅㄢ-ㄎㄨㄝㄊ | theme=restaurant | stage=2
