# 字 6000-6499
 6000 | bug                            | 蟲子                             | 🐾        | chunks=['b', 'ug'] | py=ㄅㄧ-ㄚㄍ | theme=animals | stage=1
 6001 | cage                           | 獸籠                             | 🏃        | chunks=['ca', 'ge'] | py=ㄎㄚ-ㄐㄧ | theme=animals | stage=1
 6002 | call                           | 呼叫                             | 🏃        | chunks=['c', 'all'] | py=ㄒㄧ-ㄛ | theme=actions | stage=1
 6003 | camp                           | 營地                             | ⛺        | chunks=['c', 'amp'] | py=ㄒㄧ-ㄚㄇㄆ | theme=adjectives | stage=1
 6004 | cause                          | 原因                             | 🏃        | chunks=['cau', 'se'] | py=ㄎㄛ-ㄙㄜ | theme=actions | stage=1
 6005 | chase                          | 追捕                             | 🏃        | chunks=['cha', 'se'] | py=ㄎㄚ-ㄙㄜ | theme=actions | stage=1
 6006 | chick                          | 小雞                             | 🐾        | chunks=['ch', 'ick'] | py=ㄔ-ㄧㄎ | theme=animals | stage=1
 6007 | chief                          | 領袖                             | 🏃        | chunks=['ch', 'ief'] | py=ㄔ-ㄞㄈ | theme=jobs | stage=2
 6008 | christmas                      | 聖誕節                            | 🏃        | chunks=['chris', 'tmas'] | py=ㄎㄌㄧㄙ-ㄊㄇㄚㄙ | theme=events | stage=1
 6009 | xmas                           | 聖誕節                            | 🏃        | chunks=['xm', 'as'] | py=ㄎㄙㄇ-ㄚ | theme=events | stage=2
 6010 | clear                          | 清晰的                            | 🎨        | chunks=['cl', 'ear'] | py=ㄎㄌ-ㄦ | theme=adjectives | stage=1
 6011 | cola                           | 可樂                             | 🥤        | chunks=['co', 'la'] | py=ㄎㄛ-ㄌㄚ | theme=drinks | stage=1
 6012 | coke                           | 可樂                             | 🥤        | chunks=['co', 'ke'] | py=ㄎㄛ-ㄎㄟ | theme=drinks | stage=1
 6013 | continue                       | 繼續                             | 🏃        | chunks=['con', 'ti', 'nue'] | py=ㄎㄚㄣ-ㄊㄜ-ㄋㄧㄨ | theme=actions | stage=1
 6014 | cooky                          | 餅乾                             | 🍪        | chunks=['coo', 'ky'] | py=ㄎㄨ-ㄎㄧ | theme=desserts | stage=2
 6015 | correct                        | 正確的                            | 🎨        | chunks=['cor', 'rect'] | py=ㄎㄛ-ㄖㄝㄎㄊ | theme=adjectives | stage=1
 6016 | cover                          | 覆蓋                             | 🏃        | chunks=['co', 'ver'] | py=ㄎㄛ-ㄈㄜ | theme=actions | stage=1
 6017 | cowboy                         | 牛仔                             | 🤠        | chunks=['cow', 'boy'] | py=ㄎㄠ-ㄅㄛㄧ | theme=animals | stage=2
 6018 | cub                            | 幼獸                             | 🐻        | chunks=['c', 'ub'] | py=ㄒㄧ-ㄚㄅ | theme=animals | stage=2
 6019 | daddy                          | 爸爸                             | 👨‍👩‍👧    | chunks=['dad', 'dy'] | py=ㄉㄚㄉ-ㄉㄧ | theme=family | stage=1 base=dad
 6020 | papa                           | 爸爸                             | 👨‍👩‍👧    | chunks=['pa', 'pa'] | py=ㄆㄜ-ㄆㄜ | theme=family | stage=2
 6021 | pa                             | 爸爸                             | 👨‍👩‍👧    | chunks=['p', 'a'] | py=ㄆㄧ-ㄜ | theme=family | stage=2
 6022 | danger                         | 危險                             | ⚠️       | chunks=['dan', 'ger'] | py=ㄉㄢ-ㄍㄜ | theme=emergencies | stage=1
 6023 | dead                           | 死的                             | 🎨        | chunks=['d', 'ead'] | py=ㄉㄧ-ㄧㄉ | theme=adjectives | stage=1
 6024 | dear                           | 親愛的                            | 🎨        | chunks=['d', 'ear'] | py=ㄉㄧ-ㄦ | theme=adjectives | stage=1
 6025 | death                          | 死亡                             | 🏃        | chunks=['d', 'eath'] | py=ㄉㄧ-ㄧㄒ | theme=actions | stage=1
