# 字 9000-9499
 9000 | vaccine                        | 疫苗                             | 🎨        | chunks=['vac', 'ci', 'ne'] | py=ㄈㄚ-ㄙㄜ-ㄋㄧ | theme=adjectives | stage=3
 9001 | valiant                        | 英勇的                            | 🎨        | chunks=['va', 'liant'] | py=ㄈㄚ-ㄌㄧㄣㄊ | theme=adjectives | stage=4
 9002 | validity                       | 有效性、正當性                        | 🎓        | chunks=['va', 'li', 'di', 'ty'] | py=ㄈㄚ-ㄌㄧ-ㄉㄧ-ㄊㄧ | theme=academic-words | stage=4 base=valid
 9003 | vanilla                        | 香草、香草口味的                       | 🎨        | chunks=['va', 'nil', 'la'] | py=ㄈㄚ-ㄋㄧㄌ-ㄌㄚ | theme=adjectives | stage=4
 9004 | variable                       | 多變的、變數                         | 🎨        | chunks=['va', 'riab', 'le'] | py=ㄈㄚ-ㄖㄧㄚㄅ-ㄌㄧ | theme=adjectives | stage=3
 9005 | variation                      | 變動                             | 🎓        | chunks=['va', 'ria', 'tion'] | py=ㄈㄚ-ㄖㄧㄚ-ㄒㄣ | theme=academic-words | stage=3
 9006 | vend                           | 出售                             | 🏃        | chunks=['v', 'end'] | py=ㄈㄧ-ㄝㄣㄉ | theme=actions | stage=4
 9007 | verge                          | 邊緣、瀕臨                          | 🏃        | chunks=['ver', 'ge'] | py=ㄈㄜ-ㄐㄧ | theme=directions | stage=4
 9008 | versatile                      | 多才多藝的                          | 🎨        | chunks=['ver', 'sa', 'ti', 'le'] | py=ㄈㄜ-ㄙㄚ-ㄊㄜ-ㄌㄧ | theme=adjectives | stage=4
 9009 | veteran                        | 老兵                             | 🏃        | chunks=['ve', 'te', 'ran'] | py=ㄈㄜ-ㄊㄧ-ㄌㄚㄣ | theme=actions | stage=3
 9010 | vibration                      | 顫動                             | 🎓        | chunks=['vib', 'ra', 'tion'] | py=ㄨㄧㄅ-ㄌㄚ-ㄒㄣ | theme=academic-words | stage=3
 9011 | victimize                      | 使受害                            | 🏃        | chunks=['vic', 'ti', 'mi', 'ze'] | py=ㄈㄧㄎ-ㄊㄜ-ㄇㄞ-ㄗㄧ | theme=actions | stage=4 base=victim
 9012 | victor                         | 勝利者                            | 🏆        | chunks=['vic', 'tor'] | py=ㄈㄧㄎ-ㄊㄜ | theme=jobs | stage=4
 9013 | victorious                     | 勝利的                            | 🎨        | chunks=['vic', 'to', 'rious'] | py=ㄈㄧㄎ-ㄊㄛ-ㄖㄧㄜㄙ | theme=adjectives | stage=4
 9014 | villa                          | 別墅                             | 🏃        | chunks=['vil', 'la'] | py=ㄈㄧ-ㄌㄚ | theme=actions | stage=4
 9015 | vineyard                       | 葡萄園                            | 🍇        | chunks=['vi', 'neyard'] | py=ㄈㄞ-ㄋㄧㄚㄜㄉ | theme=fruits | stage=4
 9016 | visualize                      | 使視覺化                           | 🏃        | chunks=['vi', 'sua', 'li', 'ze'] | py=ㄈㄞ-ㄙㄨㄟ-ㄌㄧ-ㄗㄧ | theme=actions | stage=4 base=visual
 9017 | vitality                       | 活力                             | 🎓        | chunks=['vi', 'ta', 'li', 'ty'] | py=ㄈㄞ-ㄊㄝ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4 base=vital
 9018 | vocal                          | 聲音的                            | 🎨        | chunks=['vo', 'cal'] | py=ㄈㄛ-ㄎㄜ | theme=adjectives | stage=3
 9019 | vocation                       | 行業                             | 🎓        | chunks=['vo', 'ca', 'tion'] | py=ㄈㄛ-ㄎㄚ-ㄒㄣ | theme=academic-words | stage=4
 9020 | vocational                     | 職業的                            | 🎨        | chunks=['vo', 'ca', 'tio', 'nal'] | py=ㄈㄛ-ㄎㄚ-ㄒㄛ-ㄋㄦ | theme=adjectives | stage=4
 9021 | vogue                          | 流行                             | 🎵        | chunks=['vo', 'gue'] | py=ㄈㄛ-ㄍㄝ | theme=music | stage=4
 9022 | vulgar                         | 粗俗的                            | 🎨        | chunks=['vul', 'gar'] | py=ㄈㄚㄦ-ㄍㄚㄦ | theme=adjectives | stage=4
 9023 | vulnerable                     | 易受傷的                           | 💊        | chunks=['vul', 'ne', 'rab', 'le'] | py=ㄈㄚㄦ-ㄋㄧ-ㄖㄝ-ㄌㄧ | theme=health | stage=3
 9024 | warfare                        | 戰爭                             | 📜        | chunks=['war', 'fa', 're'] | py=ㄨㄛ-ㄈㄚ-ㄌㄧ | theme=history | stage=4
 9025 | warranty                       | 保證書                            | 🏃        | chunks=['war', 'ran', 'ty'] | py=ㄨㄛ-ㄌㄚㄣ-ㄊㄧ | theme=actions | stage=4
 9026 | watertight                     | 防水的                            | 💧        | chunks=['wa', 'ter', 'tight'] | py=ㄨㄛ-ㄊㄜ-ㄊㄞㄊ | theme=drinks | stage=4
 9027 | whatsoever                     | 任何事物                           | 🏃        | chunks=['what', 'soe', 'ver'] | py=ㄨㄚㄊ-ㄙㄛ-ㄈㄜ | theme=actions | stage=4
 9028 | windshield                     | 擋風玻璃                           | 🚗        | chunks=['wind', 'shield'] | py=ㄨㄧㄋㄉ-ㄒㄞㄌㄉ | theme=materials | stage=4
 9029 | withstand                      | 承受、抵擋                          | 🏃        | chunks=['with', 'stand'] | py=ㄨㄧㄒ-ㄙㄉㄢㄉ | theme=actions | stage=4
 9030 | woo                            | 追求                             | 🏃        | chunks=['w', 'oo'] | py=ㄨ-ㄨ | theme=actions | stage=4
 9031 | wrestle                        | 摔角、扭打                          | 🏃        | chunks=['wres', 'tle'] | py=ㄨㄖㄝㄙ-ㄉㄜ | theme=actions | stage=4
 9032 | yearn                          | 思念                             | 🏃        | chunks=['y', 'earn'] | py=ㄌㄧ-ㄧㄜㄋ | theme=actions | stage=4
 9033 | zeal                           | 熱心                             | 🏃        | chunks=['z', 'eal'] | py=ㄗ-ㄧㄌ | theme=actions | stage=4
 9034 | kindness                       | 善意                             | 🎓        | chunks=['kin', 'dness'] | py=ㄎㄧㄣ-ㄉㄋㄝㄙ | theme=academic-words | stage=2 base=kind
 9035 | darkness                       | 黑暗                             | 🎓        | chunks=['dar', 'kness'] | py=ㄉㄜ-ㄎㄋㄝㄙ | theme=academic-words | stage=2 base=dark
 9036 | weakness                       | 弱點                             | 🎓        | chunks=['weak', 'ness'] | py=ㄨㄧㄎ-ㄋㄝㄙ | theme=academic-words | stage=2 base=weak
 9037 | madness                        | 瘋狂                             | 🎓        | chunks=['mad', 'ness'] | py=ㄇㄚㄉ-ㄋㄝㄙ | theme=academic-words | stage=2 base=mad
 9038 | softness                       | 柔軟                             | 🎓        | chunks=['sof', 'tness'] | py=ㄙㄛㄈ-ㄊㄋㄝㄙ | theme=academic-words | stage=3 base=soft
 9039 | coldness                       | 寒冷、冷漠                          | 🎓        | chunks=['col', 'dness'] | py=ㄎㄚ-ㄉㄋㄝㄙ | theme=academic-words | stage=3 base=cold
 9040 | tiredness                      | 疲倦                             | 🎓        | chunks=['ti', 'red', 'ness'] | py=ㄊㄜ-ㄌㄝㄉ-ㄋㄝㄙ | theme=academic-words | stage=3 base=tired
 9041 | fairness                       | 公平                             | 🎓        | chunks=['fair', 'ness'] | py=ㄈㄝㄜ-ㄋㄝㄙ | theme=academic-words | stage=3 base=fair
 9042 | greatness                      | 偉大                             | 🎓        | chunks=['great', 'ness'] | py=ㄍㄖㄟㄊ-ㄋㄝㄙ | theme=academic-words | stage=3 base=great
 9043 | thickness                      | 厚度                             | 🎓        | chunks=['thic', 'kness'] | py=ㄒㄧㄎ-ㄎㄋㄝㄙ | theme=academic-words | stage=3 base=thick
 9044 | quickness                      | 迅速                             | 🎓        | chunks=['quic', 'kness'] | py=ㄎㄨㄧㄎ-ㄎㄋㄝㄙ | theme=academic-words | stage=3 base=quick
 9045 | emptiness                      | 空虛                             | 🎓        | chunks=['em', 'pti', 'ness'] | py=ㄝㄇ-ㄆㄊㄧ-ㄋㄝㄙ | theme=academic-words | stage=3
 9046 | loneliness                     | 孤獨                             | 🎓        | chunks=['lo', 'ne', 'li', 'ness'] | py=ㄌㄛ-ㄋㄧ-ㄌㄧ-ㄋㄝㄙ | theme=academic-words | stage=3
 9047 | weariness                      | 疲憊                             | 🎓        | chunks=['wea', 'ri', 'ness'] | py=ㄨㄝ-ㄌㄧ-ㄋㄝㄙ | theme=academic-words | stage=3 base=wear
 9048 | sweetness                      | 甜美                             | 🍬        | chunks=['sweet', 'ness'] | py=ㄙㄨㄧㄊ-ㄋㄝㄙ | theme=appearance | stage=2 base=sweet
 9049 | boldness                       | 大膽                             | 🤔        | chunks=['bol', 'dness'] | py=ㄅㄛ-ㄉㄋㄝㄙ | theme=personality | stage=3 base=bold
 9050 | readiness                      | 準備                             | 🎓        | chunks=['rea', 'di', 'ness'] | py=ㄌㄝ-ㄉㄧ-ㄋㄝㄙ | theme=academic-words | stage=3 base=read
 9051 | shyness                        | 害羞                             | 🤔        | chunks=['shy', 'ness'] | py=ㄒㄧ-ㄋㄝㄙ | theme=personality | stage=2 base=shy
 9052 | eagerness                      | 熱切                             | 🎓        | chunks=['ea', 'ger', 'ness'] | py=ㄧ-ㄍㄜ-ㄋㄝㄙ | theme=academic-words | stage=3 base=eager
 9053 | rudeness                       | 粗魯                             | 🎓        | chunks=['ru', 'de', 'ness'] | py=ㄌㄨ-ㄉㄧ-ㄋㄝㄙ | theme=academic-words | stage=3 base=rude
 9054 | selfishness                    | 自私                             | 🎓        | chunks=['sel', 'fis', 'hness'] | py=ㄙㄝ-ㄈㄧㄙ-ㄏㄋㄝㄙ | theme=academic-words | stage=3 base=selfish
 9055 | politeness                     | 禮貌                             | 🎓        | chunks=['po', 'li', 'te', 'ness'] | py=ㄆㄛ-ㄌㄧ-ㄊㄧ-ㄋㄝㄙ | theme=academic-words | stage=3 base=polite
 9056 | seriousness                    | 嚴肅                             | 🎓        | chunks=['se', 'rious', 'ness'] | py=ㄙㄜ-ㄖㄧㄜㄙ-ㄋㄝㄙ | theme=academic-words | stage=3 base=serious
 9057 | cleverness                     | 聰明                             | 🤔        | chunks=['cle', 'ver', 'ness'] | py=ㄎㄜ-ㄈㄜ-ㄋㄝㄙ | theme=personality | stage=3 base=clever
 9058 | toughness                      | 韌性                             | 🎓        | chunks=['toug', 'hness'] | py=ㄊㄠㄍ-ㄏㄋㄝㄙ | theme=academic-words | stage=3 base=tough
 9059 | vagueness                      | 含糊                             | 🎓        | chunks=['va', 'gue', 'ness'] | py=ㄈㄚ-ㄍㄝ-ㄋㄝㄙ | theme=academic-words | stage=3 base=vague
 9060 | compartment                    | 隔間                             | 🎨        | chunks=['com', 'par', 'tment'] | py=ㄎㄚㄇ-ㄆㄚㄦ-ㄊㄇㄣㄊ | theme=adjectives | stage=3
 9061 | encouragement                  | 鼓勵                             | 💪        | chunks=['en', 'cou', 'ra', 'ge', 'ment'] | py=ㄣ-ㄎㄚ-ㄌㄚ-ㄐㄧ-ㄇㄣㄊ | theme=music | stage=3 base=encourage
 9062 | enjoyment                      | 享受                             | 🎨        | chunks=['en', 'joy', 'ment'] | py=ㄣ-ㄐㄛㄧ-ㄇㄣㄊ | theme=adjectives | stage=2 base=enjoy
 9063 | excitement                     | 興奮                             | 😊        | chunks=['ex', 'ci', 'te', 'ment'] | py=ㄝㄎㄙ-ㄙㄜ-ㄊㄧ-ㄇㄣㄊ | theme=emotions | stage=2
 9064 | improvement                    | 改善                             | 🎨        | chunks=['im', 'pro', 've', 'ment'] | py=ㄧㄇ-ㄆㄜ-ㄈㄜ-ㄇㄣㄊ | theme=adjectives | stage=2 base=improve
 9065 | judgement                      | 判斷                             | 🎨        | chunks=['jud', 'ge', 'ment'] | py=ㄐㄚㄉ-ㄐㄧ-ㄇㄣㄊ | theme=adjectives | stage=3 base=judge
 9066 | movement                       | 運動                             | ⚽        | chunks=['mo', 've', 'ment'] | py=ㄇㄛ-ㄈㄜ-ㄇㄣㄊ | theme=sports | stage=2 base=move
 9067 | payment                        | 支付                             | 🎨        | chunks=['pay', 'ment'] | py=ㄆㄟ-ㄇㄣㄊ | theme=adjectives | stage=2 base=pay
 9068 | placement                      | 安置                             | 🎨        | chunks=['pla', 'ce', 'ment'] | py=ㄆㄌㄚ-ㄙㄜ-ㄇㄣㄊ | theme=adjectives | stage=3 base=place
 9069 | requirement                    | 要求                             | 🎨        | chunks=['re', 'qui', 're', 'ment'] | py=ㄌㄧ-ㄎㄧ-ㄌㄧ-ㄇㄣㄊ | theme=adjectives | stage=3 base=require
 9070 | shipment                       | 貨運                             | 🎨        | chunks=['ship', 'ment'] | py=ㄒㄧㄆ-ㄇㄣㄊ | theme=adjectives | stage=3 base=ship
 9071 | adoption                       | 收養                             | 🎓        | chunks=['a', 'dop', 'tion'] | py=ㄜ-ㄉㄛㄆ-ㄒㄣ | theme=academic-words | stage=3 base=adopt
 9072 | punctuation                    | 標點                             | 🎓        | chunks=['pun', 'ctua', 'tion'] | py=ㄆㄚ-ㄎㄊㄚㄚ-ㄒㄣ | theme=academic-words | stage=3
 9073 | a chip on shoulder             | 積怨                             | 💬        | chunks=['a', 'chip', 'on', 'shoul', 'der'] | py=ㄚ-ㄔㄧㄆ-ㄛㄋ-ㄒㄠㄌㄉㄜ | theme=idioms | stage=3
 9074 | add insult to injury           | 雪上加霜                           | 💬        | chunks=['add', 'in', 'sult', 'to', 'in', 'ju', 'ry'] | py=ㄚㄉㄉ-ㄧㄋㄙㄚㄌㄊ-ㄊㄛ-ㄧㄋㄐㄜㄧ | theme=idioms | stage=3
