# 字 3500-3999
 3500 | plot                           | 劇情                             | 📜        | chunks=['pl', 'ot'] | py=ㄆㄌㄚㄊ | theme=movies-tv | stage=1 [有易混提示]
 3501 | twist                          | 轉折                             | 🔀        | chunks=['tw', 'ist'] | py=ㄊㄨㄧㄙㄊ | theme=movies-tv | stage=2 [有易混提示]
 3502 | setting                        | 場景                             | 🌆        | chunks=['set', 'ting'] | py=ㄙㄝ-ㄊㄧㄥ | theme=movies-tv | stage=1 base=set [有易混提示]
 3503 | scene                          | 場景、一幕、圈子                       | 🎬        | chunks=['sc', 'ene'] | py=ㄒㄧㄣ | theme=movies-tv | stage=1 [有易混提示]
 3504 | audience                       | 觀眾                             | 👥        | chunks=['au', 'di', 'ence'] | py=ㄛ-ㄉㄧ-ㄜㄣㄙ | theme=movies-tv | stage=1
 3505 | viewer                         | 觀眾                             | 👁️       | chunks=['view', 'er'] | py=ㄈㄧㄨ-ㄜㄦ | theme=movies-tv | stage=1 base=view
 3506 | rating                         | 評分                             | ⭐        | chunks=['rat', 'ing'] | py=ㄌㄝ-ㄊㄧㄥ | theme=movies-tv | stage=1 base=rate [有易混提示]
 3507 | review                         | 評論                             | 📝        | chunks=['re', 'view'] | py=ㄌㄧ-ㄈㄧㄨ | theme=movies-tv | stage=1 [有易混提示]
 3508 | critic                         | 評論家                            | 🧐        | chunks=['crit', 'ic'] | py=ㄎㄌㄧ-ㄊㄧㄎ | theme=movies-tv | stage=2
 3509 | series                         | 影集                             | 📺        | chunks=['se', 'ries'] | py=ㄒㄧ-ㄌㄧㄗ | theme=movies-tv | stage=1 [有易混提示]
 3510 | episode                        | 集數                             | 📺        | chunks=['ep', 'i', 'sode'] | py=ㄝ-ㄆㄜ-ㄙㄛㄉ | theme=movies-tv | stage=1
 3511 | finale                         | 完結篇                            | 🏁        | chunks=['fi', 'nale'] | py=ㄈㄜ-ㄋㄚ-ㄌㄧ | theme=movies-tv | stage=2
 3512 | binge                          | 狂看、一口氣看完                       | 📺        | chunks=['b', 'inge'] | py=ㄅㄧㄣㄐ | theme=movies-tv | stage=2 [有易混提示]
 3513 | recap                          | 回顧                             | 🔁        | chunks=['re', 'cap'] | py=ㄌㄧ-ㄎㄚㄆ | theme=movies-tv | stage=2
 3514 | spoiler                        | 劇透                             | 🚫        | chunks=['spoil', 'er'] | py=ㄙㄆㄛㄧ-ㄌㄜㄦ | theme=movies-tv | stage=1 base=spoil
 3515 | broadcast                      | 播送                             | 📡        | chunks=['broad', 'cast'] | py=ㄅㄌㄛㄉ-ㄎㄚㄙㄊ | theme=movies-tv | stage=2 base=broadcast
 3516 | livestream                     | 直播                             | 📹        | chunks=['live', 'stream'] | py=ㄌㄞㄈ-ㄙㄉㄌㄧㄇ | theme=movies-tv | stage=1
 3517 | syringe                        | 針筒                             | 💉        | chunks=['sy', 'ringe'] | py=ㄒㄜ-ㄌㄧㄣㄐ | theme=medical | stage=2
 3518 | scalpel                        | 手術刀                            | 🔪        | chunks=['scal', 'pel'] | py=ㄙㄎㄚㄦ-ㄆㄦ | theme=medical | stage=3
 3519 | stethoscope                    | 聽診器                            | 🩺        | chunks=['steth', 'o', 'scope'] | py=ㄙㄉㄝ-ㄙㄜ-ㄙㄎㄛㄆ | theme=medical | stage=2
 3520 | xray                           | X光                             | 🩻        | chunks=['x', 'ray'] | py=ㄝㄎㄙ-ㄌㄟ | theme=medical | stage=1
 3521 | mri                            | 核磁共振                           | 🩻        | chunks=['m', 'r', 'i'] | py=ㄝㄇ-ㄚㄦ-ㄞ | theme=medical | stage=2
 3522 | ultrasound                     | 超音波                            | 🩻        | chunks=['ul', 'tra', 'sound'] | py=ㄚㄦ-ㄊㄌㄚ-ㄙㄠㄣㄉ | theme=medical | stage=2
 3523 | ecg                            | 心電圖                            | 📈        | chunks=['e', 'c', 'g'] | py=ㄧ-ㄒㄧ-ㄐㄧ | theme=medical | stage=3
 3524 | ward                           | 病房                             | 🏥        | chunks=['w', 'ard'] | py=ㄨㄛㄦㄉ | theme=medical | stage=2 [有易混提示]
 3525 | icu                            | 加護病房                           | 🏥        | chunks=['i', 'c', 'u'] | py=ㄞ-ㄒㄧ-ㄧㄨ | theme=medical | stage=2
 3526 | emergency                      | 急診                             | 🚨        | chunks=['e', 'mer', 'gen', 'cy'] | py=ㄧ-ㄇㄜㄦ-ㄐㄜㄣ-ㄒㄧ | theme=medical | stage=1 base=emerge
 3527 | vial                           | 小瓶                             | 💊        | chunks=['vi', 'al'] | py=ㄈㄞ-ㄜㄦ | theme=medical | stage=3
 3528 | oxygen                         | 氧氣                             | 🫧        | chunks=['ox', 'y', 'gen'] | py=ㄚㄎ-ㄒㄜ-ㄐㄜㄣ | theme=medical | stage=2
