# 字 6500-6999
 6500 | shoot                          | 發射                             | 🏃        | chunks=['sh', 'oot'] | py=ㄒ-ㄨㄊ | theme=actions | stage=2 [有易混提示]
 6501 | sidewalk                       | 人行道                            | 🏃        | chunks=['si', 'de', 'walk'] | py=ㄗㄜ-ㄉㄧ-ㄨㄛㄎ | theme=actions | stage=2
 6502 | sign                           | 招牌                             | 🏃        | chunks=['s', 'ign'] | py=ㄝㄙ-ㄧㄍㄋ | theme=actions | stage=2 [有易混提示]
 6503 | silence                        | 寂靜                             | 🎓        | chunks=['si', 'len', 'ce'] | py=ㄗㄜ-ㄌㄝㄣ-ㄙㄜ | theme=academic-words | stage=2
 6504 | skillful                       | 熟練的                            | 🎨        | chunks=['skil', 'lful'] | py=ㄙㄎㄧ-ㄌㄈㄚㄛ | theme=adjectives | stage=2 base=skill
 6505 | skilled                        | 熟練的                            | 🎨        | chunks=['skil', 'led'] | py=ㄙㄎㄧ-ㄌㄝㄉ | theme=adjectives | stage=2
 6506 | sleepy                         | 想睡的                            | 🎨        | chunks=['slee', 'py'] | py=ㄙㄌㄧ-ㄆㄧ | theme=adjectives | stage=2 base=sleep
 6507 | slip                           | 滑行                             | 🏃        | chunks=['sl', 'ip'] | py=ㄙㄌ-ㄌㄧㄆ | theme=actions | stage=2 [有易混提示]
 6508 | society                        | 社會                             | 🏃        | chunks=['so', 'cie', 'ty'] | py=ㄙㄜ-ㄙㄞ-ㄜ-ㄊㄧ | theme=actions | stage=2
 6509 | solution                       | 解答                             | 🎓        | chunks=['so', 'lu', 'tion'] | py=ㄙㄜ-ㄌㄨ-ㄒㄣ | theme=academic-words | stage=2 base=sole
 6510 | solve                          | 解決                             | 🏃        | chunks=['sol', 've'] | py=ㄙㄚ-ㄈㄜ | theme=actions | stage=2 [有易混提示]
 6511 | southern                       | 南方的                            | 🧭        | chunks=['sout', 'hern'] | py=ㄙㄠㄊ-ㄏㄜㄋ | theme=directions | stage=2
