# 字 500-999
  500 | live                           | 居住                             | 🏠        | chunks=['l', 'ive'] | py=ㄌㄧㄈ | theme=actions | stage=0 [有易混提示]
  501 | die                            | 死                              | 💀        | chunks=['die'] | py=ㄉㄞ | theme=actions | stage=1 [有易混提示]
  502 | help                           | 幫助                             | 🤝        | chunks=['h', 'elp'] | py=ㄏㄝㄦㄆ | theme=actions | stage=0
  503 | need                           | 需要                             | ‼️       | chunks=['n', 'eed'] | py=ㄋㄧㄉ | theme=actions | stage=0
  504 | want                           | 想要                             | 🙏        | chunks=['w', 'ant'] | py=ㄨㄚㄣㄊ | theme=actions | stage=0
  505 | like                           | 喜歡                             | 👍        | chunks=['l', 'ike'] | py=ㄌㄞㄎ | theme=actions | stage=0 [有易混提示]
  506 | hate                           | 討厭                             | 👎        | chunks=['h', 'ate'] | py=ㄏㄟㄊ | theme=actions | stage=1
  507 | wish                           | 願望、希望                          | 🌠        | chunks=['w', 'ish'] | py=ㄨㄧㄒ | theme=actions | stage=1 [有易混提示]
  508 | hope                           | 希望                             | 🙌        | chunks=['h', 'ope'] | py=ㄏㄛㄆ | theme=actions | stage=1 [有易混提示]
  509 | try                            | 嘗試                             | 💪        | chunks=['try'] | py=ㄊㄦㄞ | theme=actions | stage=0
  510 | cool                           | 涼                              | ❄️       | chunks=['c', 'ool'] | py=ㄎㄨㄦ | theme=adjectives | stage=0 [有易混提示]
  511 | wet                            | 濕                              | 💦        | chunks=['w', 'et'] | py=ㄨㄝㄊ | theme=adjectives | stage=0
  512 | dry                            | 乾                              | 🏜️       | chunks=['dry'] | py=ㄉㄦㄞ | theme=adjectives | stage=0 [有易混提示]
  513 | dirty                          | 髒                              | 🦠        | chunks=['dir', 'ty'] | py=ㄉㄦ-ㄊㄧ | theme=adjectives | stage=1 base=dirt
  514 | easy                           | 簡單                             | 🟢        | chunks=['ea', 'sy'] | py=ㄧ-ㄗㄧ | theme=adjectives | stage=1 base=ease
  515 | hard                           | 困難、硬                           | 🪨        | chunks=['h', 'ard'] | py=ㄏㄚㄦㄉ | theme=adjectives | stage=0 [有易混提示]
  516 | soft                           | 軟                              | ☁️       | chunks=['s', 'oft'] | py=ㄙㄚㄈㄊ | theme=adjectives | stage=0
  517 | heavy                          | 重                              | 🏋️       | chunks=['heav', 'y'] | py=ㄏㄝ-ㄈㄧ | theme=adjectives | stage=1
  518 | light                          | 光、輕                            | 💡        | chunks=['l', 'ight'] | py=ㄌㄞㄊ | theme=adjectives | stage=1 [有易混提示]
  519 | dark                           | 暗                              | 🌑        | chunks=['d', 'ark'] | py=ㄉㄚㄦㄎ | theme=adjectives | stage=0 [有易混提示]
  520 | bright                         | 亮                              | ☀️       | chunks=['br', 'ight'] | py=ㄅㄦㄞㄊ | theme=adjectives | stage=1 [有易混提示]
  521 | loud                           | 大聲                             | 📢        | chunks=['l', 'oud'] | py=ㄌㄠㄉ | theme=adjectives | stage=1 [有易混提示]
  522 | quiet                          | 安靜                             | 🤫        | chunks=['qui', 'et'] | py=ㄎㄨㄞ-ㄝㄊ | theme=adjectives | stage=1 [有易混提示]
  523 | high                           | 高                              | ⛰️       | chunks=['high'] | py=ㄏㄞ | theme=adjectives | stage=1 [有易混提示]
  524 | low                            | 低                              | ⬇️       | chunks=['low'] | py=ㄌㄛ | theme=adjectives | stage=0
  525 | long                           | 長                              | 📏        | chunks=['l', 'ong'] | py=ㄌㄚㄥ | theme=adjectives | stage=0 [有易混提示]
  526 | wide                           | 寬                              | ↔️       | chunks=['w', 'ide'] | py=ㄨㄞㄉ | theme=adjectives | stage=1
  527 | narrow                         | 窄                              | ↕️       | chunks=['nar', 'row'] | py=ㄋㄚ-ㄖㄛ | theme=adjectives | stage=2
  528 | thick                          | 厚                              | 📚        | chunks=['th', 'ick'] | py=ㄒㄧㄎ | theme=adjectives | stage=1
  529 | thin                           | 薄、瘦                            | 🧻        | chunks=['th', 'in'] | py=ㄒㄧㄣ | theme=adjectives | stage=1
  530 | fat                            | 胖                              | 🐷        | chunks=['f', 'at'] | py=ㄈㄚㄊ | theme=adjectives | stage=0 [有易混提示]
  531 | strong                         | 強壯                             | 💪        | chunks=['str', 'ong'] | py=ㄙㄊㄦㄚㄥ | theme=adjectives | stage=1
  532 | weak                           | 弱                              | 🥺        | chunks=['w', 'eak'] | py=ㄨㄧㄎ | theme=adjectives | stage=1 [有易混提示]
  533 | young                          | 年輕                             | 👶        | chunks=['y', 'oung'] | py=ㄧㄚㄥ | theme=adjectives | stage=1
  534 | pretty                         | 漂亮                             | 💐        | chunks=['pret', 'ty'] | py=ㄆㄦㄧ-ㄊㄧ | theme=adjectives | stage=1 [有易混提示]
  535 | beautiful                      | 美麗                             | 🌸        | chunks=['beau', 'ti', 'ful'] | py=ㄅㄧㄨ-ㄊㄜ-ㄈㄜㄦ | theme=adjectives | stage=1 base=beauty
  536 | ugly                           | 醜                              | 👹        | chunks=['ug', 'ly'] | py=ㄚㄍ-ㄌㄧ | theme=adjectives | stage=1
  537 | cute                           | 可愛                             | 🧸        | chunks=['c', 'ute'] | py=ㄎㄧㄨㄊ | theme=adjectives | stage=0
  538 | nice                           | 好的                             | 😊        | chunks=['n', 'ice'] | py=ㄋㄞㄙ | theme=adjectives | stage=0
  539 | kind                           | 善良                             | 💕        | chunks=['k', 'ind'] | py=ㄎㄞㄣㄉ | theme=adjectives | stage=1 [有易混提示]
  540 | mean                           | 刻薄                             | 😠        | chunks=['m', 'ean'] | py=ㄇㄧㄣ | theme=adjectives | stage=1 [有易混提示]
