# 字 8500-8999
 8500 | designate                      | 指定                             | 🏃        | chunks=['de', 'sig', 'na', 'te'] | py=ㄉㄧ-ㄒㄧㄍ-ㄋㄚ-ㄊㄧ | theme=actions | stage=4
 8501 | destined                       | 命中注定的                          | 🎨        | chunks=['des', 'ti', 'ned'] | py=ㄉㄧ-ㄊㄜ-ㄋㄝㄉ | theme=adjectives | stage=4
 8502 | detach                         | 分開                             | 🏃        | chunks=['de', 'tach'] | py=ㄉㄧ-ㄊㄚㄑ | theme=actions | stage=4
 8503 | deter                          | 威懾住                            | 🏃        | chunks=['de', 'ter'] | py=ㄉㄧ-ㄊㄜ | theme=actions | stage=4
 8504 | detergent                      | 洗潔劑                            | 🎨        | chunks=['de', 'ter', 'gent'] | py=ㄉㄧ-ㄊㄜ-ㄐㄣㄊ | theme=adjectives | stage=4
 8505 | deteriorate                    | 惡化                             | 🏃        | chunks=['de', 'te', 'rio', 'ra', 'te'] | py=ㄉㄧ-ㄊㄧ-ㄖㄧㄛ-ㄌㄚ-ㄊㄧ | theme=actions | stage=4
 8506 | devalue                        | 降低...的價值                       | 🏃        | chunks=['de', 'va', 'lue'] | py=ㄉㄧ-ㄈㄚ-ㄌㄩ | theme=actions | stage=4
 8507 | diagram                        | 圖表                             | 🏃        | chunks=['di', 'a', 'gram'] | py=ㄉㄧㄚㄍ-ㄌㄚ | theme=actions | stage=4
 8508 | dictate                        | 口授                             | 🏃        | chunks=['dic', 'ta', 'te'] | py=ㄉㄧㄎ-ㄊㄝ-ㄊㄧ | theme=actions | stage=4
 8509 | dictation                      | 聽寫                             | 🎓        | chunks=['dic', 'ta', 'tion'] | py=ㄉㄧㄎ-ㄊㄝ-ㄒㄣ | theme=academic-words | stage=4 base=dictate
 8510 | dictator                       | 獨裁者                            | 👨‍⚕️     | chunks=['dic', 'ta', 'tor'] | py=ㄉㄧㄎ-ㄊㄝ-ㄊㄜ | theme=jobs | stage=4 base=dictate
