# 字 4500-4999
 4500 | steppe                         | 大草原                            | 🌾        | chunks=['st', 'eppe'] | py=ㄙㄉㄝㄆ | theme=geography | stage=3
 4501 | pampas                         | 南美大草原                          | 🌾        | chunks=['pam', 'pas'] | py=ㄆㄚㄇ-ㄆㄚㄙ | theme=geography | stage=3
 4502 | taiga                          | 針葉林                            | 🌲        | chunks=['tai', 'ga'] | py=ㄊㄞ-ㄍㄚ | theme=geography | stage=3
 4503 | ridge                          | 山脊                             | ⛰️       | chunks=['r', 'idge'] | py=ㄌㄧㄐ | theme=geography | stage=2
 4504 | lava                           | 熔岩                             | 🌋        | chunks=['la', 'va'] | py=ㄌㄚ-ㄈㄚ | theme=geography | stage=2
 4505 | magma                          | 岩漿                             | 🌋        | chunks=['mag', 'ma'] | py=ㄇㄚㄍ-ㄇㄚ | theme=geography | stage=3
 4506 | oasis                          | 綠洲                             | 🌴        | chunks=['o', 'a', 'sis'] | py=ㄛ-ㄝ-ㄙㄧㄙ | theme=geography | stage=2
 4507 | dune                           | 沙丘                             | 🏜️       | chunks=['d', 'une'] | py=ㄉㄧㄨㄣ | theme=geography | stage=3
 4508 | tributary                      | 支流                             | 🏞️       | chunks=['trib', 'u', 'tar', 'y'] | py=ㄊㄌㄧ-ㄅㄧㄨ-ㄊㄜ-ㄌㄧ | theme=geography | stage=3
 4509 | basin                          | 流域                             | 🏞️       | chunks=['ba', 'sin'] | py=ㄅㄟ-ㄙㄣ | theme=geography | stage=2 [有易混提示]
 4510 | rainforest                     | 雨林                             | 🌳        | chunks=['rain', 'for', 'est'] | py=ㄖㄝㄣ-ㄈㄛ-ㄜㄙㄊ | theme=geography | stage=1
 4511 | icecap                         | 冰冠                             | 🧊        | chunks=['ice', 'cap'] | py=ㄞㄙ-ㄎㄚㄆ | theme=geography | stage=3
 4512 | icesheet                       | 冰原                             | 🧊        | chunks=['ice', 'sheet'] | py=ㄞㄙ-ㄒㄧㄊ | theme=geography | stage=3
 4513 | polarcap                       | 極冠                             | 🧊        | chunks=['po', 'lar', 'cap'] | py=ㄆㄛ-ㄌㄜ-ㄎㄚㄆ | theme=geography | stage=3
 4514 | geographic                     | 地理的                            | 🗺️       | chunks=['ge', 'o', 'graph', 'ic'] | py=ㄐㄧ-ㄜ-ㄍㄌㄚ-ㄈㄧㄎ | theme=geography | stage=2
 4515 | topography                     | 地形                             | 🗺️       | chunks=['to', 'pog', 'ra', 'phy'] | py=ㄊㄜ-ㄆㄚ-ㄍㄌㄜ-ㄈㄧ | theme=geography | stage=3
 4516 | cartography                    | 製圖學                            | 🗺️       | chunks=['car', 'tog', 'ra', 'phy'] | py=ㄎㄚㄦ-ㄊㄚ-ㄍㄌㄜ-ㄈㄧ | theme=geography | stage=3
 4517 | atlas                          | 地圖集                            | 📖        | chunks=['at', 'las'] | py=ㄚㄊ-ㄌㄚㄙ | theme=geography | stage=2
 4518 | mineral                        | 礦物                             | 💎        | chunks=['min', 'er', 'al'] | py=ㄇㄧ-ㄋㄜ-ㄦ | theme=geography | stage=2
 4519 | ore                            | 礦石                             | 🪨        | chunks=['o', 're'] | py=ㄛㄦ | theme=geography | stage=3 [有易混提示]
 4520 | biome                          | 生物群系                           | 🌍        | chunks=['bi', 'ome'] | py=ㄅㄞ-ㄛㄇ | theme=geography | stage=3
 4521 | geography                      | 地理                             | 🗺️       | chunks=['ge', 'og', 'ra', 'phy'] | py=ㄐㄧ-ㄚ-ㄍㄌㄜ-ㄈㄧ | theme=geography | stage=1
