# 字 7500-7999
 7500 | overtake                       | 追上                             | 🏃        | chunks=['o', 'ver', 'ta', 'ke'] | py=ㄛ-ㄈㄜ-ㄊㄝㄎ | theme=directions | stage=3
 7501 | overthrow                      | 打倒                             | 🏃        | chunks=['o', 'ver', 'throw'] | py=ㄛ-ㄈㄜㄊ-ㄏㄖㄠ | theme=actions | stage=3
 7502 | pace                           | 步伐、節奏                          | 🚶        | chunks=['pa', 'ce'] | py=ㄆㄝㄙ | theme=numbers | stage=3
 7503 | partial                        | 部分的，局部的                        | 🎨        | chunks=['par', 'tial'] | py=ㄆㄚㄦ-ㄒㄦ | theme=adjectives | stage=3
 7504 | participation                  | 參加，參與                          | 🎓        | chunks=['par', 'ti', 'ci', 'pa', 'tion'] | py=ㄆㄚㄦ-ㄊㄜ-ㄙㄜ-ㄆㄟ-ㄒㄣ | theme=academic-words | stage=3 base=participate
 7505 | participle                     | 分詞                             | 🏃        | chunks=['par', 'ti', 'ci', 'ple'] | py=ㄆㄚㄦ-ㄊㄜ-ㄎㄧㄆ-ㄌㄧ | theme=actions | stage=3
 7506 | pebble                         | 小卵石                            | 🏃        | chunks=['peb', 'ble'] | py=ㄆㄝ-ㄅㄜ | theme=actions | stage=3
 7507 | peculiar                       | 奇怪的                            | 🎨        | chunks=['pe', 'cu', 'li', 'ar'] | py=ㄆㄜ-ㄎㄧㄨ-ㄌㄧㄚㄜ | theme=adjectives | stage=3
 7508 | pedal                          | 踏板                             | 🚲        | chunks=['pe', 'dal'] | py=ㄆㄜ-ㄉㄦ | theme=actions | stage=3
 7509 | percentage                     | 比例                             | 🏃        | chunks=['per', 'cen', 'ta', 'ge'] | py=ㄆㄜ-ㄙㄝㄣ-ㄊㄜㄐ | theme=actions | stage=3
 7510 | perfection                     | 完美                             | 💯        | chunks=['per', 'fec', 'tion'] | py=ㄆㄜ-ㄈㄝㄎ-ㄒㄜㄣ | theme=appearance | stage=3 base=perfect
 7511 | permanent                      | 永久的、燙髮                         | 💇        | chunks=['per', 'ma', 'nent'] | py=ㄆㄜ-ㄇㄜ-ㄋㄜㄣㄊ | theme=food | stage=3
 7512 | persuasive                     | 勸說的                            | 🎨        | chunks=['per', 'sua', 'si', 've'] | py=ㄆㄜ-ㄙㄨㄟ-ㄗㄜ-ㄈㄜ | theme=adjectives | stage=3
 7513 | pianist                        | 鋼琴家                            | 🎵        | chunks=['pia', 'nist'] | py=ㄆㄧㄚ-ㄋㄧㄙㄊ | theme=music | stage=3 base=piano
 7514 | plentiful                      | 豐富的，充足的                        | 🎨        | chunks=['plen', 'ti', 'ful'] | py=ㄆㄌㄝㄣ-ㄊㄜ-ㄈㄜㄦ | theme=adjectives | stage=3
 7515 | plural                         | 複數的、複數                         | 🔢        | chunks=['plu', 'ral'] | py=ㄆㄌㄨ-ㄦ | theme=actions | stage=3
