# 字 1000-1499
 1000 | mosquito                       | 蚊子                             | 🦟        | chunks=['mos', 'qui', 'to'] | py=ㄇㄚㄙ-ㄎㄧ-ㄊㄛ | theme=animals | stage=1
 1001 | ladybug                        | 瓢蟲                             | 🐞        | chunks=['la', 'dy', 'bug'] | py=ㄌㄟ-ㄉㄧ-ㄅㄚㄍ | theme=animals | stage=1
 1002 | dragonfly                      | 蜻蜓                             | 🪰        | chunks=['dra', 'gon', 'fly'] | py=ㄉㄌㄚ-ㄍㄢ-ㄈㄌㄞ | theme=animals | stage=2
 1003 | beetle                         | 甲蟲                             | 🪲        | chunks=['bee', 'tle'] | py=ㄅㄧ-ㄉㄜ | theme=animals | stage=2
 1004 | caterpillar                    | 毛毛蟲                            | 🐛        | chunks=['ca', 'ter', 'pil', 'lar'] | py=ㄎㄚ-ㄊㄜ-ㄆㄧ-ㄌㄜ | theme=animals | stage=2
 1005 | snail                          | 蝸牛                             | 🐌        | chunks=['sn', 'ail'] | py=ㄙㄋㄟㄦ | theme=animals | stage=1
 1006 | worm                           | 蟲                              | 🪱        | chunks=['w', 'orm'] | py=ㄨㄜㄇ | theme=animals | stage=0 [有易混提示]
 1007 | moth                           | 飛蛾                             | 🐛        | chunks=['m', 'oth'] | py=ㄇㄚㄙ | theme=animals | stage=1
 1008 | wasp                           | 黃蜂                             | 🐝        | chunks=['w', 'asp'] | py=ㄨㄚㄙㄆ | theme=animals | stage=2
 1009 | cockroach                      | 蟑螂                             | 🪳        | chunks=['cock', 'roach'] | py=ㄎㄚㄎ-ㄌㄛㄑ | theme=animals | stage=1
 1010 | scorpion                       | 蠍子                             | 🦂        | chunks=['scor', 'pi', 'on'] | py=ㄙㄎㄛ-ㄆㄧ-ㄢ | theme=animals | stage=2
 1011 | cod                            | 鱈魚                             | 🐟        | chunks=['c', 'od'] | py=ㄎㄚㄉ | theme=animals | stage=2
 1012 | jacket                         | 夾克                             | 🧥        | chunks=['jac', 'ket'] | py=ㄐㄚ-ㄎㄜㄊ | theme=clothing | stage=0
