# 字 7000-7499
 7000 | sexual                         | 性的                             | 🎨        | chunks=['se', 'xual'] | py=ㄙㄜ-ㄎㄙㄚㄚㄌ | theme=adjectives | stage=2 base=sex
 7001 | shady                          | 多蔭的                            | 🎨        | chunks=['sha', 'dy'] | py=ㄒㄚ-ㄉㄧ | theme=adjectives | stage=2 base=shade
 7002 | shame                          | 羞恥                             | 🏃        | chunks=['sha', 'me'] | py=ㄒㄚ-ㄇㄝ | theme=actions | stage=2 [有易混提示]
 7003 | shave                          | 刮                              | 🏃        | chunks=['sha', 've'] | py=ㄒㄚ-ㄈㄜ | theme=actions | stage=2 [有易混提示]
 7004 | shepherd                       | 牧羊人                            | 🐾        | chunks=['shep', 'herd'] | py=ㄒㄝㄆ-ㄏㄜㄉ | theme=animals | stage=2
 7005 | shiny                          | 發光的                            | 🎨        | chunks=['shi', 'ny'] | py=ㄒㄧ-ㄋㄧ | theme=adjectives | stage=2 base=shine
 7006 | shorten                        | 變短                             | 🏃        | chunks=['shor', 'ten'] | py=ㄒㄛㄜ-ㄊㄣ | theme=actions | stage=2 base=short
 7007 | shortly                        | 立刻，馬上，不久                       | ⏱️       | chunks=['shor', 'tly'] | py=ㄒㄛㄜ-ㄊㄌㄧ | theme=animals | stage=2 base=short
 7008 | similarity                     | 相似                             | 🎓        | chunks=['si', 'mi', 'la', 'ri', 'ty'] | py=ㄗㄜ-ㄇㄞ-ㄌㄚ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=2 base=similar
 7009 | sip                            | 啜飲                             | 🏃        | chunks=['s', 'ip'] | py=ㄝㄙ-ㄌㄧㄆ | theme=actions | stage=2 [有易混提示]
 7010 | ski                            | 滑雪屐                            | ⚽        | chunks=['sk', 'i'] | py=ㄙㄎ-ㄌㄜ | theme=sports | stage=2 [有易混提示]
 7011 | skip                           | 跳躍                             | 🏃        | chunks=['sk', 'ip'] | py=ㄙㄎ-ㄌㄧㄆ | theme=actions | stage=2 [有易混提示]
 7012 | skyscraper                     | 摩天樓                            | 🏃        | chunks=['skys', 'cra', 'per'] | py=ㄙㄎㄧㄙ-ㄎㄌㄟ-ㄆㄜ | theme=actions | stage=2
 7013 | snap                           | 猛咬                             | 🏃        | chunks=['sn', 'ap'] | py=ㄙㄋ-ㄚ | theme=actions | stage=2 [有易混提示]
 7014 | someday                        | 將來有一天                          | 🔢        | chunks=['so', 'me', 'day'] | py=ㄙㄛ-ㄇㄝ-ㄉㄟ | theme=time | stage=2
 7015 | sometime                       | 在某一時候                          | 🔢        | chunks=['so', 'me', 'ti', 'me'] | py=ㄙㄛ-ㄇㄝ-ㄊㄜ-ㄇㄝ | theme=time | stage=2
