# 字 9500-9999
 9500 | dividend                       | 股息                             | 💼        | chunks=['di', 'vi', 'dend'] | py=ㄉㄧ-ㄈㄞ-ㄉㄝㄋㄉ | theme=business | stage=3
 9501 | dominance                      | 主導地位、優勢                        | 🎓        | chunks=['do', 'mi', 'nan', 'ce'] | py=ㄉㄛ-ㄇㄞ-ㄋㄚ-ㄙㄜ | theme=academic-words | stage=3
 9502 | downturn                       | 低迷                             | 🏃        | chunks=['dow', 'nturn'] | py=ㄉㄛ-ㄋㄊㄜㄋ | theme=actions | stage=3
 9503 | endorse                        | 公開支持、背書                        | 👍        | chunks=['en', 'dor', 'se'] | py=ㄣ-ㄉㄜ-ㄙㄜ | theme=body | stage=3
 9504 | escrow                         | 託管                             | 🏃        | chunks=['es', 'crow'] | py=ㄝㄙ-ㄎㄖㄛ | theme=actions | stage=3
 9505 | leverage                       | 槓桿                             | 🏃        | chunks=['le', 've', 'ra', 'ge'] | py=ㄌㄧ-ㄈㄜ-ㄌㄚ-ㄐㄧ | theme=actions | stage=3
 9506 | nonprofit                      | 非營利                            | 🏃        | chunks=['non', 'pro', 'fit'] | py=ㄋㄚㄣ-ㄆㄜ-ㄈㄧㄊ | theme=actions | stage=3
 9507 | portfolio                      | 投資組合                           | 💼        | chunks=['por', 'tfo', 'lio'] | py=ㄆㄜ-ㄊㄈㄛ-ㄌㄧㄛ | theme=business | stage=3
 9508 | procurement                    | 採購                             | 🎨        | chunks=['pro', 'cu', 're', 'ment'] | py=ㄆㄜ-ㄎㄧㄨ-ㄌㄧ-ㄇㄣㄊ | theme=adjectives | stage=3 base=procure
 9509 | quota                          | 配額                             | 🏃        | chunks=['quo', 'ta'] | py=ㄎㄨㄛ-ㄊㄝ | theme=actions | stage=3
 9510 | rebate                         | 回扣                             | 🏃        | chunks=['re', 'ba', 'te'] | py=ㄌㄧ-ㄅㄟ-ㄊㄧ | theme=actions | stage=3
 9511 | reimburse                      | 報銷                             | 🏃        | chunks=['reim', 'bur', 'se'] | py=ㄖㄝㄇ-ㄅㄜ-ㄙㄜ | theme=actions | stage=3
 9512 | stockholder                    | 股東                             | 📈        | chunks=['stoc', 'khol', 'der'] | py=ㄙㄊㄛㄎ-ㄎㄏㄛㄌ-ㄉㄜ | theme=directions | stage=3
 9513 | takeover                       | 收購                             | 🏃        | chunks=['ta', 'keo', 'ver'] | py=ㄊㄝ-ㄎㄝㄛ-ㄈㄜ | theme=actions | stage=3
 9514 | turnover                       | 營業額                            | 🏃        | chunks=['tur', 'no', 'ver'] | py=ㄊㄜ-ㄋㄛ-ㄈㄜ | theme=actions | stage=3
 9515 | blister                        | 水泡                             | 🩹        | chunks=['blis', 'ter'] | py=ㄅㄌㄧㄙ-ㄊㄜ | theme=drinks | stage=3
 9516 | cardiac                        | 心臟的                            | 🦵        | chunks=['car', 'diac'] | py=ㄎㄚㄦ-ㄉㄧㄚㄎ | theme=body | stage=3
 9517 | coma                           | 昏迷                             | 🏃        | chunks=['co', 'ma'] | py=ㄎㄛ-ㄇㄚ | theme=actions | stage=3 [有易混提示]
 9518 | congestion                     | 充血                             | 🎓        | chunks=['con', 'ges', 'tion'] | py=ㄎㄚㄣ-ㄐㄝㄙ-ㄒㄣ | theme=academic-words | stage=3
 9519 | contagion                      | 傳染、傳染病                         | 🏃        | chunks=['con', 'ta', 'gion'] | py=ㄎㄚㄣ-ㄊㄝ-ㄐㄣ | theme=actions | stage=3
 9520 | contraception                  | 避孕                             | 🎓        | chunks=['con', 'tra', 'cep', 'tion'] | py=ㄎㄚㄣ-ㄊㄌㄚ-ㄙㄝㄆ-ㄒㄣ | theme=academic-words | stage=3
