# 字 8000-8499
 8000 | mansion                        | 大廈                             | 🏛️       | chunks=['man', 'sion'] | py=ㄇㄢ-ㄒㄜㄣ | theme=academic-words | stage=3
 8001 | maple                          | 楓樹                             | 🏃        | chunks=['map', 'le'] | py=ㄇㄚㄆ-ㄌㄧ | theme=actions | stage=3
 8002 | marginal                       | 邊緣的                            | 🎨        | chunks=['mar', 'gi', 'nal'] | py=ㄇㄚㄦ-ㄐㄜ-ㄋㄦ | theme=adjectives | stage=3
 8003 | marine                         | 海的                             | 🌳        | chunks=['ma', 'ri', 'ne'] | py=ㄇㄚ-ㄌㄧ-ㄋㄧ | theme=nature | stage=3
 8004 | marshal                        | 元帥                             | 💁        | chunks=['mar', 'shal'] | py=ㄇㄚㄦ-ㄒㄚ | theme=appearance | stage=3
 8005 | martial                        | 好戰的                            | 🎨        | chunks=['mar', 'tial'] | py=ㄇㄚㄦ-ㄒㄦ | theme=adjectives | stage=3
 8006 | marvel                         | 驚奇、令人驚奇的事物                     | 😲        | chunks=['mar', 'vel'] | py=ㄇㄚㄦ-ㄈㄜ | theme=office | stage=3
 8007 | masculine                      | 男子氣概的                          | 🎨        | chunks=['mas', 'cu', 'li', 'ne'] | py=ㄇㄚㄙ-ㄎㄧㄨ-ㄌㄧ-ㄋㄧ | theme=adjectives | stage=3
 8008 | mash                           | 糊狀物                            | 🏃        | chunks=['mash'] | py=ㄇㄚㄒ | theme=actions | stage=3
 8009 | massage                        | 按摩                             | 🏃        | chunks=['mas', 'sa', 'ge'] | py=ㄇㄜ-ㄙㄚㄒ | theme=actions | stage=3
 8010 | massive                        | 巨大的                            | 🎨        | chunks=['mas', 'si', 've'] | py=ㄇㄚㄙ-ㄗㄜ-ㄈㄜ | theme=adjectives | stage=3 base=mass
 8011 | mayonnaise                     | 美乃滋                            | 🥫        | chunks=['mayon', 'nai', 'se'] | py=ㄇㄟㄛㄋ-ㄋㄟ-ㄙㄜ | theme=appearance | stage=3
 8012 | meantime                       | 同時                             | 🏃        | chunks=['mean', 'ti', 'me'] | py=ㄇㄧㄣ-ㄊㄜ-ㄇㄝ | theme=actions | stage=3
 8013 | mechanics                      | 力學                             | 🏃        | chunks=['mec', 'ha', 'nics'] | py=ㄇㄝㄎ-ㄏㄜ-ㄋㄧㄎㄙ | theme=actions | stage=3
 8014 | menace                         | 威脅                             | 🏃        | chunks=['me', 'na', 'ce'] | py=ㄇㄝ-ㄋㄚ-ㄙㄜ | theme=actions | stage=3
 8015 | mermaid                        | 美人魚                            | 🧜        | chunks=['mer', 'maid'] | py=ㄇㄜ-ㄇㄟㄉ | theme=animals | stage=3
 8016 | midst                          | 中間                             | 🏃        | chunks=['midst'] | py=ㄇㄧㄉㄙㄊ | theme=actions | stage=3
 8017 | migrant                        | 移居的移民                          | 🎨        | chunks=['mig', 'rant'] | py=ㄇㄧㄍ-ㄌㄣㄊ | theme=adjectives | stage=3
 8018 | mileage                        | 里程數                            | 🏃        | chunks=['mi', 'lea', 'ge'] | py=ㄇㄞ-ㄌㄜㄐ | theme=actions | stage=3
 8019 | mingle                         | 混合                             | 🏃        | chunks=['min', 'gle'] | py=ㄇㄧㄣ-ㄍㄜ | theme=actions | stage=3
 8020 | miser                          | 吝嗇鬼                            | 🤑        | chunks=['mi', 'ser'] | py=ㄇㄞ-ㄗㄜ | theme=personality | stage=3
 8021 | mistress                       | 女主人                            | 🏃        | chunks=['mis', 'tress'] | py=ㄇㄧㄙ-ㄊㄌㄝㄙ | theme=actions | stage=3
