# 字 9000-9499
 9000 | vaccine                        | 疫苗                             | 🎨        | chunks=['vac', 'ci', 'ne'] | py=ㄈㄚㄎ-ㄙㄧㄣ | theme=adjectives | stage=3
 9001 | valiant                        | 英勇的                            | 🎨        | chunks=['va', 'liant'] | py=ㄈㄚ-ㄌㄧㄜㄣㄊ | theme=adjectives | stage=4
 9002 | validity                       | 有效性、正當性                        | 🎓        | chunks=['va', 'li', 'di', 'ty'] | py=ㄈㄚ-ㄌㄧ-ㄉㄧ-ㄊㄧ | theme=academic-words | stage=4 base=valid
 9003 | vanilla                        | 香草、香草口味的                       | 🎨        | chunks=['va', 'nil', 'la'] | py=ㄈㄚ-ㄋㄧㄌ-ㄌㄚ | theme=adjectives | stage=4
 9004 | variable                       | 多變的、變數                         | 🎨        | chunks=['va', 'riab', 'le'] | py=ㄈㄚ-ㄖㄧㄚㄅ-ㄌㄧ | theme=adjectives | stage=3
 9005 | variation                      | 變動                             | 🎓        | chunks=['va', 'ria', 'tion'] | py=ㄈㄝ-ㄖㄧ-ㄝ-ㄒㄣ | theme=academic-words | stage=3
 9006 | vend                           | 出售                             | 🏃        | chunks=['vend'] | py=ㄈㄝㄣㄉ | theme=actions | stage=4
 9007 | verge                          | 邊緣、瀕臨                          | 🏃        | chunks=['verge'] | py=ㄈㄜㄐ | theme=directions | stage=4
 9008 | versatile                      | 多才多藝的                          | 🎨        | chunks=['ver', 'sa', 'ti', 'le'] | py=ㄈㄜ-ㄙㄜ-ㄊㄜ | theme=adjectives | stage=4
 9009 | veteran                        | 老兵                             | 🏃        | chunks=['ve', 'te', 'ran'] | py=ㄈㄝ-ㄊㄜ-ㄖㄜㄋ | theme=actions | stage=3
 9010 | vibration                      | 顫動                             | 🎓        | chunks=['vib', 'ra', 'tion'] | py=ㄈㄞ-ㄅㄖㄟ-ㄒㄣ | theme=academic-words | stage=3
 9011 | victimize                      | 使受害                            | 🏃        | chunks=['vic', 'ti', 'mi', 'ze'] | py=ㄈㄧㄎ-ㄊㄜ-ㄇㄞㄗ | theme=actions | stage=4 base=victim
 9012 | victor                         | 勝利者                            | 🏆        | chunks=['vic', 'tor'] | py=ㄈㄧㄎ-ㄊㄜ | theme=jobs | stage=4
 9013 | victorious                     | 勝利的                            | 🎨        | chunks=['vic', 'to', 'rious'] | py=ㄈㄧㄎ-ㄊㄛ-ㄖㄧㄜㄙ | theme=adjectives | stage=4
 9014 | villa                          | 別墅                             | 🏃        | chunks=['vil', 'la'] | py=ㄈㄧ-ㄌㄚ | theme=actions | stage=4
 9015 | vineyard                       | 葡萄園                            | 🍇        | chunks=['vine', 'yard'] | py=ㄈㄧㄣ-ㄧㄜㄉ | theme=fruits | stage=4
 9016 | visualize                      | 使視覺化                           | 🏃        | chunks=['vi', 'sua', 'li', 'ze'] | py=ㄈㄧ-ㄓㄨ-ㄜ-ㄌㄞㄗ | theme=actions | stage=4 base=visual
 9017 | vitality                       | 活力                             | 🎓        | chunks=['vi', 'ta', 'li', 'ty'] | py=ㄈㄞ-ㄊㄝ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4 base=vital
 9018 | vocal                          | 聲音的                            | 🎨        | chunks=['vo', 'cal'] | py=ㄈㄛ-ㄎㄜㄦ | theme=adjectives | stage=3
 9019 | vocation                       | 行業                             | 🎓        | chunks=['vo', 'ca', 'tion'] | py=ㄈㄛ-ㄎㄚ-ㄒㄣ | theme=academic-words | stage=4 [有易混提示]
 9020 | vocational                     | 職業的                            | 🎨        | chunks=['vo', 'ca', 'tio', 'nal'] | py=ㄈㄛ-ㄎㄟ-ㄒㄜ-ㄋㄜㄦ | theme=adjectives | stage=4
 9021 | vogue                          | 流行                             | 🎵        | chunks=['vogue'] | py=ㄈㄛㄍ | theme=music | stage=4
 9022 | vulgar                         | 粗俗的                            | 🎨        | chunks=['vul', 'gar'] | py=ㄈㄚㄦ-ㄍㄜㄦ | theme=adjectives | stage=4
 9023 | vulnerable                     | 易受傷的                           | 🩹        | chunks=['vul', 'ne', 'rab', 'le'] | py=ㄈㄚㄦ-ㄋㄧ-ㄖㄝ-ㄌㄧ | theme=health | stage=3
 9024 | warfare                        | 戰爭                             | ⚔️       | chunks=['war', 'fa', 're'] | py=ㄨㄛㄦ-ㄈㄝㄦ | theme=history | stage=4
 9025 | warranty                       | 保證書                            | 🏃        | chunks=['war', 'ran', 'ty'] | py=ㄨㄛ-ㄖㄜㄋ-ㄊㄧ | theme=actions | stage=4
 9026 | watertight                     | 防水的                            | 💧        | chunks=['wa', 'ter', 'tight'] | py=ㄨㄛ-ㄊㄜㄦ-ㄊㄞㄊ | theme=drinks | stage=4
 9027 | whatsoever                     | 任何事物                           | 🏃        | chunks=['what', 'so', 'ev', 'er'] | py=ㄨㄚㄊ-ㄙㄛ-ㄝ-ㄈㄜㄦ | theme=actions | stage=4
 9028 | windshield                     | 擋風玻璃                           | 🚗        | chunks=['wind', 'shield'] | py=ㄨㄧㄋㄉ-ㄒㄞㄌㄉ | theme=materials | stage=4
 9029 | withstand                      | 承受、抵擋                          | 🏃        | chunks=['with', 'stand'] | py=ㄨㄧㄒ-ㄙㄉㄢㄉ | theme=actions | stage=4
 9030 | woo                            | 追求                             | 🏃        | chunks=['woo'] | py=ㄨ | theme=actions | stage=4
 9031 | wrestle                        | 摔角、扭打                          | 🏃        | chunks=['wres', 'tle'] | py=ㄨㄖㄝㄙ-ㄉㄜ | theme=actions | stage=4
 9032 | yearn                          | 思念                             | 🏃        | chunks=['yearn'] | py=ㄧㄜㄦㄣ | theme=actions | stage=4
 9033 | zeal                           | 熱心                             | 🏃        | chunks=['zeal'] | py=ㄗㄧㄦ | theme=actions | stage=4
